NONC X. galericulata thallus measurements (mm) of the width and height.,,,,,,"Measured the 1st week of May 2011, on the north side of each tree, focused on the 45-55cm high quadrat.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Note, after looking at the way the data is distributed within each tree, it might make more sense to use the median instead of the average value per tree.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"A few mistakes in there were updated on Dec 2, 2018.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Xanthomendoza galericulata sizes,,,,,,,,,,,,,,,
Tree,Genotype,Measurement,Thallus #1,Thallus #2,Thallus #3,Thallus #4,Thallus #5,Thallus #6,Thallus #7,Thallus #8,Thallus #9,Thallus #10,Average one way direction,Average thallus area (mm^2) (assuming a square),Average thallus area (mm^2) (assuming a circle),Notes,,
,,Dimension 2,0.81,1.00,1.71,2.42,0.40,1.43,1.50,0.94,1.46,1.97,1.364,1.86186,1.462301621,,,
,,,,,,,,,,,,,,,,,,
N2-14,1023,Dimension 1,2.09,2.21,2.21,3.87,0.67,1.81,2.19,1.25,2.97,2.73,2.2,,,,,
,,Dimension 2,1.00,2.53,2.79,4.62,0.50,1.81,2.19,1.40,2.21,3.58,2.263,4.9786,3.910962608,,,
,,,,,,,,,,,,,,,,,,
N2-15,1017,Dimension 1,3.78,2.26,1.45,1.59,1.33,1.35,2.77,0.50,2.80,1.56,1.939,,,,,
,,Dimension 2,3.30,2.44,2.92,1.19,1.33,2.57,2.58,0.50,2.68,1.24,2.075,4.023425,3.163622287,,,
,,,,,,,,,,,,,,,,,,
N2-16,996,Dimension 1,1.65,2.29,2.77,5.55,3.61,1.38,1.73,10.43,3.90,3.50,3.681,,,,,
,,Dimension 2,1.96,2.30,2.36,5.55,4.20,1.50,1.73,5.05,3.20,3.95,3.18,11.70558,9.242824965,,,
,,,,,,,,,,,,,,,,,,
N2-17,1012,Dimension 1,4.48,2.45,2.42,3.58,1.08,1.51,0.80,1.95,1.18,1.62,2.107,,,,,
,,Dimension 2,1.68,2.46,2.42,3.41,1.66,0.95,0.50,1.03,1.70,1.71,1.752,3.691464,2.924013997,,,
,,,,,,,,,,,,,,,,,,
N2-20,1012,Dimension 1,0.68,1.03,2.66,0.65,2.64,0.87,0.96,3.38,0.95,1.56,1.538,,,,,
,,Dimension 2,0.50,0.50,2.60,0.53,1.73,0.87,0.96,3.04,2.22,2.10,1.505,2.31469,1.818167099,,,
